km,brand,fuel,gear,price,cv,year
54000,Mercedes-Benz,Gasoline,Automatic,34900,214,2018
107496,Volvo,Diesel,Automatic,34980,238,2018
45726,Ford,Diesel,Automatic,34990,212,2018
18202,Ford,Diesel,Automatic,34990,212,2018
99862,Audi,Diesel,Automatic,35740,331,2018
36605,Volvo,Gasoline,Automatic,35989,253,2018
32950,Volvo,Diesel,Automatic,36450,238,2018
84689,Audi,Diesel,Automatic,36550,324,2018
30797,Mercedes-Benz,Gasoline,Automatic,36770,214,2018
42109,Volkswagen,Gasoline,Automatic,36880,223,2018
23123,Mercedes-Benz,Gasoline,Automatic,36880,187,2018
10827,Audi,Gasoline,Automatic,36900,314,2018
33000,Audi,Gasoline,Automatic,36900,314,2018
10197,Volkswagen,Gasoline,Automatic,27480,248,2019
10,Hyundai,Electric,Manual,27670,122,2019
15243,Volkswagen,Gasoline,Automatic,27890,248,2019
15500,Audi,Gasoline,Manual,27940,152,2019
14900,Ford,Diesel,Automatic,27950,152,2019
26175,Mercedes-Benz,Diesel,Automatic,27990,197,2019
15000,Toyota,Hybrid,Automatic,27990,221,2019
14355,Hyundai,Gasoline,Automatic,27991,179,2019
